artist_name,track_name,track_uri,acousticness,danceability,energy,valence,instrumentalness,key,mode,liveness,speechiness,time_signature,tempo,loudness,lyrics
Creeper Lagoon,wrecking ball,49YkD4yiwjJKxdAGYnPLmG,0.00168,0.208,0.8420000000000001,0.142,0.0,4.0,1.0,0.145,0.0422,4.0,163.245,-5.095,slide relax wan hold break ghost touch sweet sheila day stumble hey wreck ball break heart suppose win close tear build tough hold break day stumble hey wreck ball break heart plane wreck ball fall day dumb blind fuck fearless heartless careless hey wreck ball break heart plane wreck ball fall
Antichrisis,forever i ride,6qRCTEQntdnseu0xRVkbCM,0.0123,0.317,0.8290000000000001,0.342,0.0061600000000000005,4.0,0.0,0.317,0.0466,4.0,91.408,-5.999,autumn wind blow hard crafle devastation prepared fate rage love strong promise salvation tragedie amour life stage hear raven strucke warn word cyanide leave morning ride ride suddenly lose tremendous aberration song glad wan restlessly walk street station stand silence train pass sky star fade dawning door wide adorn ride ride love time eye flower hold wind shake rye lady lake burn stream disband mist spread morning dew queen land incense leave trail smoke vision fast hand angel lay siege heart withstand ladyof lake love silver moon dream true queen land hear song wave storm thunder light premature grave overgrow black lily night hekate bring love life rain fall soak cloak cold grey morning traing stay wait dawn fool saddle hear raven
The Corrs,summer wine (feat. bono) - live in dublin,1BwaPm2VjiOenzjW1TOZuW,0.509,0.438,0.826,0.563,2.94e-05,9.0,0.0,0.7509999999999999,0.0645,4.0,141.846,-6.274,andrea strawberrie cherry angel kiss spring summer wine bono walk town silver spur jingle sing song sing silver spur pass time summer wine summer wine andrea strawberrie cherry angel kiss spring summer wine silver spur pass time summer wine summer wine bono eye grow heavy lip speak foot reassure unfamiliar summer wine summer wine andrea strawberrie cherry angel kiss spring summer wine silver spur pass time summer wine summer wine wake sun shine eye silver spur head feel size silver spur dollar dime leave cravin summer wine summer wine
Bang Gang,falling apart,4iRLuTrj6KCU4EUHByBQn3,0.253,0.573,0.895,0.569,0.00851,0.0,0.0,0.0906,0.0306,4.0,110.992,-6.494,bad lose soul insane fall lose soul insane waste love breath breath bad lose soul insane breath breath
Cocteau Twins,ups - remastered 2006,1zjT4UKicBwftgic2uXIra,0.34700000000000003,0.312,0.768,0.7490000000000001,0.00222,9.0,1.0,0.289,0.041,3.0,170.03599999999997,-7.164,cold reality angel sheer spooky lose contact life learn share angel sheer spooky lose contact life learn share lose contact life learn blessed summering brr hana lose contact life learn share realize liar realize liar realize liar
Double You,i gave you all,18MPWWfE9JaeE1BakUK1eW,0.295,0.441,0.318,0.0984,1.74e-05,4.0,1.0,0.297,0.0387,4.0,183.807,-17.354,true desire chain love chorus love love love heart gold thinking love love love hide thinking love love stay repeat chorus thinking love love stay
Dem Franchize Boyz,fight,1xc1wUcaYwnsLgK6z0VMsS,0.242,0.8640000000000001,0.911,0.7170000000000001,0.0,1.0,1.0,0.0605,0.287,4.0,161.95,-7.065,bust head tha bust head tha bust head tha goin bust wide goin bust wide boy drink hen bust head knock chin punch ass jump ass rock floor stomp ass lil bet fuck nigga luck bitch pimpin slap hoe leave shorty pistol feel fuck niggas gut head bust cock head track hit gallaba treat virgin wan hit cherry mama prefer tha white meat tha dark swallow ball stomp nigga lock ball snuck nigga time rush jab eye blurry hurt callin bust head tha bust head tha bust head tha goin bust wide goin bust wide jack jess fuck nigga bring fuck nigga game disrespect bet throw time tha club nigga slang weed muscle trillville nah head bussa knock nigga clique bust head tha nigga pool ball pool stick boy billy bad laugh play job tha club buck lay disrespect partner tha love bet knock ass slide girl niggas tha lak suagar dream scare freddy kruger hit shake fucking drug abuser nigga buck pimp loser bust head tha bust head tha bust head tha gon bust wide gon bust wide gon bust wide slim cashin fightin niggas hoe bitin niggas talkin shit tha shit likin credit tha shit recyclin rockin cock diesel wan fight shoot leave broad throw niggas wan hand gun quick grab tha tool fraig gun slangin hard yea serve fast throw sugga shane knockin ass head bust knock brain chevy hand blow wit bitch yea bitch wan locco watch tone bitch martin larence bitch niggas ready fight wrong bitch bust head tha bust head tha bust head tha goin bust wide goin bust wide goin bust wide repeat fight
Aimee Mann,real bad news (live),0I1se2Jb5g6VR9G3PkF9Ab,0.892,0.6409999999999999,0.255,0.295,0.00759,9.0,1.0,0.685,0.0321,3.0,114.691,-12.036,change reality intrude win word paint lovely picture message real bad news undecided stem tide overwhelm lot avenue thirst real bad news love anger pair buyer beware chance feel bad win bog ball sad worth air baby secret real bad news confuse real bad news real bad news
The Boxer Rebellion,the gospel of goro adachi (live) itunes exclusive,1OQFLMyPdxYrOKdM94sl5T,0.00114,0.555,0.836,0.43,0.418,0.0,0.0,0.375,0.0469,4.0,120.025,-7.205,breach straight tunnel vision waste lose surround closer blind light set mind direction mix reference bind stick talk fall constant question start lose surround closer blind light set mind lose surround closer blind light set mind
The Coup,the coup,0vl1VBea460k9C0cAe0OJ3,0.27,0.858,0.541,0.466,0.0,7.0,1.0,0.189,0.316,4.0,91.221,-14.833,check motherfucking fuck real dude meet fleet brother street drunk liberation fuck hennessey calmly smoke cheech chong song nigga constitution nigga africans revolution happen people riot flip news reach oaktown story sake town brother factory warren law gutter hand chicken peanut butter food people block channel mall cop shoot sister eastmont nines ak spike lee baby pamper nike schoolhouse motherfuck hall pass teach truth check class teach lie wise realize road disguise prize peep game real mental penetration education liberation gon rally swinge crowd voice singe time project motherfucker damn gon hear court kendall village bay fillmore hill rich folk live shock fail vote build brother stage singe black gauge singing sudden jail funny bail shove police wall guess worn clean drawer ambulance reality meaning police brutality satisfaction fraction conclusion revolution solution check uzi kill serve protect brother sister packing revolution word hear bay york ny chicago atlanta fuck money motherfucker posse break bush collection day break trump collection day break dupont collection day steal shit granddaddy liquor store sell beer ale motherfucker sell molotov cocktail crew light brew god damned coup cut mack string
