id,title,song_count,slug
1,"A",21,a
2,"A Canorous Quintet",11,a-canorous-quintet
3,"A Flock of Seagulls",30,a-flock-of-seagulls
4,"A Ha",16,a-ha-2
5,"A Jugend - Tsg Kirchhellen",1,a-jugend-tsg-kirchhellen
6,"A Kiss To Build A Dream On",1,a-kiss-to-build-a-dream-on
7,"A Klana Indiana",4,a-klana-indiana
8,"A La Carte",6,a-la-carte
9,"A Perfect Circle",7,a-perfect-circle
10,"A Really Cool Song",1,a-really-cool-song
11,"A Shrine",5,a-shrine
12,"A Static Lullaby",8,a-static-lullaby
13,"A Taste Of Honey",1,a-taste-of-honey
14,"A Teens",10,a-teens
15,"A Tribe Called Quest",35,a-tribe-called-quest
16,"A*teens   Abba",1,a-teens-abba
17,"A. F. I.",48,a-f-i
18,"A. For W.",1,a-for-w
19,"A. R. Kane",26,a-r-kane
20,A.f.i.,52,a-f-i-2
21,A.k.-s.w.i.f.t.,1,a-k-s-w-i-f-t
22,A.n.i.m.a.l,22,a-n-i-m-a-l
23,A.p.v.,1,a-p-v
24,A+,1,a-2
25,A1,37,a1
26,Aaliyah,81,aaliyah
27,"Aaliyah (soundtrack: Dr. Dolittle)",1,aaliyah-soundtrack-dr-dolittle
28,"Aaron Carter",51,aaron-carter
29,"Aaron Lines",15,aaron-lines
30,"Aaron Neville",49,aaron-neville
31,"Aaron Tippin",50,aaron-tippin
32,"Abandoned Pools",12,abandoned-pools
33,Abba,137,abba
34,"Abbey Lincoln",1,abbey-lincoln
35,"Abby 6",12,abby-6
36,Abc,57,abc
37,Abducted,18,abducted
38,"Abdul Paula",27,abdul-paula
39,"Aber......vom Singen Keine Ahnung",1,aber-vom-singen-keine-ahnung
40,"Abi And Esther Ofraim",1,abi-and-esther-ofraim
41,"Abidin Zainal",2,abidin-zainal
42,"Abigail Mead And Nigel Goulding",1,abigail-mead-and-nigel-goulding
43,Abigor,33,abigor
44,"Ablaze My Sorrow",8,ablaze-my-sorrow
45,Abomination,7,abomination
46,Abraham,1,abraham
47,"Abrams Rita",1,abrams-rita
48,"Abreu Fernanda",11,abreu-fernanda
49,"Abrial Patrick",1,abrial-patrick
50,"Abrunhosa Pedro",2,abrunhosa-pedro
51,"Absent Friends",2,absent-friends
52,Absint,1,absint
53,Absolom,1,absolom
54,"Absolute Beginner",19,absolute-beginner
55,Absu,24,absu
56,Abyssos,8,abyssos
57,"Ac Dc",110,ac-dc
58,"Acad&#233;mica Palanca",1,acad-233-mica-palanca
59,Accept,95,accept
60,"According To John",1,according-to-john
61,"Acda En De Munnik",3,acda-en-de-munnik
62,Ace,1,ace
63,"Ace Frehley",7,ace-frehley
64,"Ace of Base",68,ace-of-base
65,Acen,1,acen
66,Acetone,8,acetone
67,Aceyalone,28,aceyalone
68,Acheron,47,acheron
69,"Achim Reichel",16,achim-reichel
70,"Acid Bath",8,acid-bath
71,"Acid Drinkers",43,acid-drinkers
72,"Acid Rain",25,acid-rain
73,Acolla,20,acolla
74,Acrimony,7,acrimony
75,Acrostichon,16,acrostichon
76,"Act Fast",10,act-fast
77,Actarus,1,actarus
78,"Actitud Maria Marta",2,actitud-maria-marta
79,"Adam And Eve",16,adam-and-eve
80,"Adam And The Ants",40,adam-and-the-ants
81,"Adam Ant",50,adam-ant
82,"Adam Sandler",48,adam-sandler
83,Adamo,16,adamo
84,"Adams Bryan",41,adams-bryan
85,"Adams Oleta",1,adams-oleta
86,Addict,12,addict
87,Adema,8,adema
88,Adeva,1,adeva
89,"Adi Smolar",1,adi-smolar
90,Adiemus,1,adiemus
91,"Adina Howard",1,adina-howard
92,"Adkins Trace",7,adkins-trace
93,"Admiral Twin",15,admiral-twin
94,"Adolphson Falk",8,adolphson-falk
95,"Adorned Brood",7,adorned-brood
96,"Adotta Kip",1,adotta-kip
97,Adria,5,adria
98,"Adrian Belew",49,adrian-belew
99,"Adrian Furby Trio",6,adrian-furby-trio
100,"Adrian Wolf",1,adrian-wolf
101,"Adriani Jerry",1,adriani-jerry
102,"Adriano Celentano",14,adriano-celentano
103,Adventures,9,adventures
104,Adverts,2,adverts
105,Aendiaena,1,aendiaena
106,Aeon,10,aeon
107,Aerosmith,215,aerosmith
108,"Aerosmith (armageddon Soundtrack)",1,aerosmith-armageddon-soundtrack
109,Aerzte,1,aerzte
110,Aeternus,8,aeternus
111,Afflicted,10,afflicted
112,"Afonso Jose",1,afonso-jose
113,"Afonso Zeca",75,afonso-zeca
114,Afrob,2,afrob
115,"Afrob And Ferris Mc",1,afrob-and-ferris-mc
116,"Afrob Feat. Ferris Mc",2,afrob-feat-ferris-mc
118,Afroman,3,afroman
119,"After 7",32,after-7
120,"After Crying",7,after-crying
121,"After The Fire",1,after-the-fire
122,Afterhours,27,afterhours
124,"Agans Craig",17,agans-craig
125,Agathocles,39,agathocles
126,Agathodaimon,24,agathodaimon
127,"Age Of Electric",24,age-of-electric
128,"Agent Orange",2,agent-orange
129,"Agent Steel",26,agent-steel
130,"Agents Of Chaos",5,agents-of-chaos
131,"Agents of Good Roots",19,agents-of-good-roots
132,"Aglukark Susan",3,aglukark-susan
133,"Agneta And Tomas Ledin",1,agneta-and-tomas-ledin
134,"Agneta Faltskog",3,agneta-faltskog
135,Agnetha,10,agnetha
136,"Agnetha Fandauml;ltskog",2,agnetha-fandauml-ltskog
137,"Agnetha Fandauml;ltskog and Tomas Ledin",1,agnetha-fandauml-ltskog-and-tomas-ledin
138,"Agnostic Front",41,agnostic-front
139,Agora,1,agora
140,"Agrama Gigi",1,agrama-gigi
141,Agretator,9,agretator
142,"Agua Dulce, Agua Sal&#225;",1,agua-dulce-agua-sal-225
143,"Agua Na Boca",1,agua-na-boca
144,"Aguilera Cristina",1,aguilera-cristina
145,A-ha,85,a-ha
146,Ahmad,7,ahmad
147,"Ahmad Band",1,ahmad-band
148,Aikakone,18,aikakone
149,"Aimee Mann",80,aimee-mann
150,Aion,8,aion
151,Air,24,air
152,"Air Supply",121,air-supply
153,Airija,1,airija
155,"Akins Rhett",3,akins-rhett
156,Akinyele,6,akinyele
157,Akos,50,akos
158,"Aksu Sezen",8,aksu-sezen
159,"Al Bano",1,al-bano
160,"Al Corley",1,al-corley
161,"Al Green",2,al-green
162,"Al Jarreau",1,al-jarreau
163,"Al Martino",2,al-martino
164,Alabama,108,alabama
165,Aladin,1,aladin
166,"Alain Barriere And Novelle Cordier",1,alain-barriere-and-novelle-cordier
167,"Alan And Denise",1,alan-and-denise
168,"Alan Jackson",86,alan-jackson
169,"Alan Parson Project",2,alan-parson-project
170,"Alan Parsons Project",59,alan-parsons-project
171,"Alan Price",1,alan-price
172,"Alan Sorrenti",1,alan-sorrenti
173,"Alanis Morissette",106,alanis-morissette
174,"Alanis Morissette (soundtrack: City Of Angels)",1,alanis-morissette-soundtrack-city-of-angels
175,"Alanis Morrisette",1,alanis-morrisette
176,"Alannah Myles",1,alannah-myles
177,"Alarcon Ronaye",1,alarcon-ronaye
178,Alarm,50,alarm
179,Alastis,31,alastis
180,"Albano And Romina Power",6,albano-and-romina-power
181,"Albert Der Groaszlig;e",1,albert-der-groaszlig-e
182,"Albert Hammond",8,albert-hammond
183,"Albert West",1,albert-west
184,Alberta,1,alberta
185,"Albin Berger",2,albin-berger
186,Albita,5,albita
187,Alcazar,17,alcazar
188,Alchemist,8,alchemist
189,Alda,1,alda
190,"Alecia Elliott",10,alecia-elliott
191,"Alejandro Sanz",48,alejandro-sanz
192,Alessi,1,alessi
193,"Alex E",1,alex-e
194,"Alex Nolze",1,alex-nolze
195,Alexander,1,alexander
196,"Alexander Oneal",2,alexander-oneal
197,"Alexander Oneal And Cherille",1,alexander-oneal-and-cherille
198,Alexandra,1,alexandra
199,"Alexandra Neldel Und Wolfgang Bahro Von Gzsz",1,alexandra-neldel-und-wolfgang-bahro-von-gzsz
200,Alexia,38,alexia
201,"Alf (tommy Pieper)",2,alf-tommy-pieper
202,"Alfie Khan",2,alfie-khan
203,"Alfoldi Sajtkrem",1,alfoldi-sajtkrem
204,"Ali Primera",1,ali-primera
205,"Ali Tatyana",5,ali-tatyana
206,Alias,4,alias
207,Alice,3,alice
208,"Alice Babs",2,alice-babs
209,"Alice Cooper",32,alice-cooper
210,"Alice Deejay",9,alice-deejay
211,"Alice Donut",44,alice-donut
212,"Alice in Chains",69,alice-in-chains
213,"Alicia Bridges",1,alicia-bridges
214,"Alicia Keys",24,alicia-keys
215,"Alien Ant Farm",19,alien-ant-farm
216,Aliens,2,aliens
217,"Alifantis Nicu",1,alifantis-nicu
218,Alis,1,alis
219,Alisha,1,alisha
220,"Alishas Attic",23,alishas-attic
221,"Alison Krauss",49,alison-krauss
222,"Alison Moyet",8,alison-moyet
223,Alivaltiosihteeri,46,alivaltiosihteeri
224,"Alkaline Trio",68,alkaline-trio
225,Alkbottle,1,alkbottle
226,Alkehol,1,alkehol
227,All,12,all
228,"All 4 One",50,all-4-one
229,"All About Eve",50,all-about-eve
230,"All American Rejects",10,all-american-rejects
231,"All I Want",1,all-i-want
232,"All Living Fear",19,all-living-fear
233,"All Saints",55,all-saints
234,"All Star United",10,all-star-united
235,All-4-one,9,all-4-one-2
236,"Allan Gary",4,allan-gary
237,"Allan Peter",1,allan-peter
238,Alldra,1,alldra
239,Allegiance,9,allegiance
240,"Allen Rex",1,allen-rex
242,"Allison Moorer",24,allison-moorer
243,"Allman Brothers Band",123,allman-brothers-band
244,"Allman Greg",1,allman-greg
245,Allothropya,9,allothropya
246,Allure,12,allure
247,"Alm Sepp",1,alm-sepp
248,"Alma Megretta",1,alma-megretta
249,"Almond Marc",1,almond-marc
250,"Along Comes Mary",1,along-comes-mary
251,"Alpen Sepp",1,alpen-sepp
252,Alpenflamingos,1,alpenflamingos
253,"Alpenland Quintett",2,alpenland-quintett
254,"Alpentrio Tirol",4,alpentrio-tirol
255,"Alpert Herb",1,alpert-herb
256,Alpha,24,alpha
257,Alphaville,124,alphaville
258,Alpinkatzen,2,alpinkatzen
259,"Alstone Deveille",1,alstone-deveille
260,"Alt And The Lost Civilization",1,alt-and-the-lost-civilization
261,Altar,30,altar
262,Altered,10,altered
263,"Altered Images",7,altered-images
264,"Altingediz Efe",1,altingediz-efe
265,"Altruda Joey",1,altruda-joey
266,"Alux Nahual",11,alux-nahual
267,"Alvin Lee",1,alvin-lee
268,"Alvin Stardust",7,alvin-stardust
269,"Ama Shola",12,ama-shola
270,Amanda,12,amanda
271,"Amanda Ghost",9,amanda-ghost
272,"Amanda Lear",6,amanda-lear
273,"Amanda Marshall",25,amanda-marshall
274,"Amanda Perez",8,amanda-perez
275,"Amazing Circus Midgets",3,amazing-circus-midgets
276,"Amazing Dave",3,amazing-dave
277,Amazulu,1,amazulu
278,Amber,2,amber
279,Amboog-a-lard,1,amboog-a-lard
280,Ambra,3,ambra
281,"Ambros - Prokopetz - Tauchen",1,ambros-prokopetz-tauchen
282,"Ambros Wolfgang",16,ambros-wolfgang
283,Ambrosia,43,ambrosia
284,Amebix,1,amebix
285,Amen,33,amen
286,America,176,america
287,"American Hi-fi",11,american-hi-fi
288,"American Idol",11,american-idol
289,"American Lesion",8,american-lesion
290,"American Music Club",50,american-music-club
291,"American Pearl",10,american-pearl
292,Amfortas,6,amfortas
293,Amicus,1,amicus
294,Amie,1,amie
295,"Amie Comeaux",20,amie-comeaux
296,"Amii Stewart",1,amii-stewart
297,Amil,2,amil
298,"Amon Amarth",30,amon-amarth
299,Amorphis,64,amorphis
300,"Amos Tori",4,amos-tori
301,Amps,9,amps
302,"Amuro Namie",21,amuro-namie
303,Amy,1,amy
304,"Amy Grant",155,amy-grant
305,"Amy Search",1,amy-search
306,Ana,2,ana
307,"Anarchic System",1,anarchic-system
308,"Anarchist Academy",1,anarchist-academy
309,Anastacia,30,anastacia
310,Anathema,59,anathema
311,Ancient,27,ancient
312,"Ancient Ceremony",28,ancient-ceremony
313,"Ancient Rebirth",10,ancient-rebirth
314,"Ancient Rites",5,ancient-rites
315,"And Also The Trees",29,and-also-the-trees
316,"And One",11,and-one
317,andauml;ltestenrat,1,andauml-ltestenrat
318,andauml;rzte,2,andauml-rzte
319,andauml;rzten,1,andauml-rzten
320,andauml;tsch,1,andauml-tsch
321,"andauml;zte, Die",1,andauml-zte-die
322,"Anderson Bill",2,anderson-bill
323,"Anderson Bruford Wakeman Howe",6,anderson-bruford-wakeman-howe
324,"Anderson Ernestine",1,anderson-ernestine
325,"Anderson Ian",11,anderson-ian
326,"Anderson John",7,anderson-john
327,"Anderson Jon",1,anderson-jon
328,"Anderson Lale",1,anderson-lale
329,"Anderson Laurie",2,anderson-laurie
330,"Anderson, Bruford, Wakeman, Howe",4,anderson-bruford-wakeman-howe-2
331,"Andr&#233; Stade",1,andr-233-stade
332,"Andr&#233;s Calamaro",1,andr-233-s-calamaro
333,"Andre Peter",1,andre-peter
334,"Andrea Berg",2,andrea-berg
335,"Andrea Bocelli",31,andrea-bocelli
336,"Andrea Jauuml;rgens",12,andrea-jauuml-rgens
337,"Andrea Parker",10,andrea-parker
338,"Andreas Dorau",4,andreas-dorau
339,"Andreas Elsholz",2,andreas-elsholz
340,"Andreas Hauff",1,andreas-hauff
341,"Andreas Johnson",17,andreas-johnson
342,"Andreas Lebbing",1,andreas-lebbing
343,"Andreas Martin",7,andreas-martin
344,"Andreas Tribus",1,andreas-tribus
345,"Andrew Gold",1,andrew-gold
346,"Andrew Lloyd Webber",2,andrew-lloyd-webber
347,"Andrew Sisters",1,andrew-sisters
348,"Andrews Julie",1,andrews-julie
349,"Andrews Sisters",1,andrews-sisters
350,"Andru Donalds",3,andru-donalds
351,"Andru Donalds (original By: Air Supply)",1,andru-donalds-original-by-air-supply
352,"Andy And Bernd",1,andy-and-bernd
353,"Andy Borg",11,andy-borg
354,"Andy Gibb",2,andy-gibb
355,"Andy Griggs",12,andy-griggs
356,"Andy Kim",3,andy-kim
357,"Andy Williams",39,andy-williams
358,Aneka,4,aneka
359,Anekdoten,6,anekdoten
360,Ange,34,ange
361,Angel,1,angel
362,"Angel Corpse",25,angel-corpse
363,"Angela Ammons",10,angela-ammons
364,"Angela Via",10,angela-via
365,"Angela Wiedl",1,angela-wiedl
366,Angeli,8,angeli
367,"Angelic Upstarts",1,angelic-upstarts
368,"Angelika Milster",1,angelika-milster
369,Angelina,2,angelina
370,Angels,63,angels
371,Angelus,3,angelus
372,Anggun,26,anggun
373,"Angie Aparo",22,angie-aparo
374,"Angie Martinez",6,angie-martinez
375,"Angie Stone",44,angie-stone
376,"Angie Van Burg",1,angie-van-burg
377,Angizia,12,angizia
378,"Angkor Wat",11,angkor-wat
379,Angles,1,angles
380,Angra,16,angra
381,"Ani Difranco",155,ani-difranco
382,Animals,27,animals
383,Animation,5,animation
384,"Anita Baker",1,anita-baker
385,"Anita Cochran",20,anita-cochran
386,"Anja Krabbe",1,anja-krabbe
387,"Ann Lee",1,ann-lee
388,"Ann Wilson And Mike Reno",1,ann-wilson-and-mike-reno
389,"Anne And Karin",1,anne-and-karin
390,"Anne Clark",1,anne-clark
391,"Anne Haigis",2,anne-haigis
392,"Anne Karin",3,anne-karin
393,"Anne Marie David",2,anne-marie-david
394,"Anneli Drecker",14,anneli-drecker
395,"Anneli Marian Drecker",10,anneli-marian-drecker
396,Annette,1,annette
397,"Annie Lennox",23,annie-lennox
398,Annihilator,30,annihilator
399,Anniversary,10,anniversary
400,Ann-margret,11,ann-margret
401,Anointed,1,anointed
403,"Another Level",7,another-level
404,"Another Lost Cause",1,another-lost-cause
405,"Another Summer",1,another-summer
406,Anouk,36,anouk
407,"Ant Adam",55,ant-adam
408,"Ant And Dec",17,ant-and-dec
409,Anthem,3,anthem
410,"Anthony Richard",2,anthony-richard
411,Anthrax,47,anthrax
412,"Anti Flag",14,anti-flag
413,Antichrisis,6,antichrisis
415,"Anti-nowhere League",8,anti-nowhere-league
416,"Anything Box",56,anything-box
417,"Ao Acaso",1,ao-acaso
418,"aouml; La Palaouml;ma Boys",5,aouml-la-palaouml-ma-boys
419,"aouml;rich And Cool Cool Stewen",1,aouml-rich-and-cool-cool-stewen
420,"Apache Indian",12,apache-indian
421,"Apartment 26",7,apartment-26
422,"Apex Theory",12,apex-theory
423,"Aphex Twin",4,aphex-twin
424,"Aphrodites Child",1,aphrodites-child
425,"Apollo 440",16,apollo-440
426,"Apollo Four Forty",16,apollo-four-forty
427,"Apoptygma Berzerk",34,apoptygma-berzerk
428,"April Wine",50,april-wine
429,"Apt 3g",12,apt-3g
430,"Apu - The Simpsons",1,apu-the-simpsons
431,Apulanta,49,apulanta
432,Aqua,32,aqua
433,Aquabats,60,aquabats
434,Ar,1,ar
435,"Arab Strap",39,arab-strap
436,Arabesque,10,arabesque
437,"Aragon Emilio",1,aragon-emilio
438,Aranza,1,aranza
439,Ararat,1,ararat
440,"Arbelo Rosana",1,arbelo-rosana
441,"Arc Angels",5,arc-angels
442,Arcadia,5,arcadia
443,"Arcese Dave",1,arcese-dave
444,"Arch Enemy",7,arch-enemy
445,"Archer Tasmin",11,archer-tasmin
446,"Archers of Loaf",46,archers-of-loaf
447,Archies,2,archies
448,Archive,24,archive
449,Arcturus,9,arcturus
450,Arcwelder,49,arcwelder
451,"Arden Jann",30,arden-jann
452,Arena,6,arena
453,"Arena Tina",29,arena-tina
454,"Arends Carolyn",1,arends-carolyn
455,"Aretha Franklin",3,aretha-franklin
456,Argent,2,argent
457,Arguments,2,arguments
458,Arhangel,1,arhangel
459,Arid,14,arid
460,"Arjona Ricardo",35,arjona-ricardo
461,Arkarna,10,arkarna
462,Armageddon,3,armageddon
463,"Armand Van Helden Feat. Duane Harden",1,armand-van-helden-feat-duane-harden
464,"Armatrading Joan",1,armatrading-joan
465,"Armored Saint",48,armored-saint
466,"Armoury Show",12,armoury-show
467,"Armstrong Louis",4,armstrong-louis
468,"Army of Lovers",50,army-of-lovers
469,"Arne And The Boys From Back Home",1,arne-and-the-boys-from-back-home
470,"Arnee And The Terminaters",1,arnee-and-the-terminaters
471,"Arrested Development",4,arrested-development
472,"Arrogant Worms",62,arrogant-worms
473,Arrow,1,arrow
474,"Art Company",1,art-company
475,"Art Garfunkel",4,art-garfunkel
476,"Art Nuse",2,art-nuse
477,"Art Sulivan And Kiki",1,art-sulivan-and-kiki
478,"Artful Dodger Feat. Craig David",1,artful-dodger-feat-craig-david
479,"Arthur Brown",1,arthur-brown
480,"Arthur Glenn",1,arthur-glenn
481,"Articolo 31",1,articolo-31
482,"Artificial Joy Club",9,artificial-joy-club
483,"Artistst United Against Apartheid",1,artistst-united-against-apartheid
484,Ash,48,ash
485,Ashanti,19,ashanti
487,"Ashen Light",11,ashen-light
488,"Ashford And Simpson",2,ashford-and-simpson
489,"Ashley Ballard",10,ashley-ballard
490,"Ashley Stove",8,ashley-stove
491,"Ashton Gardner And Dyke",1,ashton-gardner-and-dyke
492,"Ashton Susan",4,ashton-susan
493,Asia,53,asia
494,"Asian Dub Foundation",30,asian-dub-foundation
495,"Asparagus Children",1,asparagus-children
496,Asphyx,7,asphyx
497,"Ass Ponys",51,ass-ponys
498,"Assalti Frontali",9,assalti-frontali
499,Assassin,7,assassin
500,"Assayag David",1,assayag-david
501,Association,12,association
502,"Ast Florian",11,ast-florian
503,Asterix,2,asterix
504,"Astor Willy",9,astor-willy
505,Aswad,1,aswad
506,"At The Drive In",42,at-the-drive-in
507,"At The Gates",39,at-the-gates
508,Atanatos,11,atanatos
509,"Atari Teenage Riot",16,atari-teenage-riot
510,Ataris,56,ataris
511,Atc,12,atc
512,A-teens,38,a-teens-2
513,Atemlos,1,atemlos
514,Aterciopelados,22,aterciopelados
515,Atheist,24,atheist
516,Athenaeum,22,athenaeum
517,Ati,1,ati
518,"Atkins Chet",5,atkins-chet
519,"Atlanta Rhythm Section",1,atlanta-rhythm-section
520,"Atlantic Starr",2,atlantic-starr
521,Atlantis,1,atlantis
522,"Atomic Kitten",35,atomic-kitten
523,"Atomic Opera",9,atomic-opera
524,Atrocity,33,atrocity
525,"Attaque 77",2,attaque-77
526,"Attaque Louise",14,attaque-louise
527,"Attica Blues",24,attica-blues
528,"Au Pairs",8,au-pairs
529,"Audio Adrenaline",51,audio-adrenaline
530,Audioslave,13,audioslave
531,Audiovent,12,audiovent
532,Audioweb,27,audioweb
533,"Audrey Landers",2,audrey-landers
534,"Audrey Landers And Camilo Sesto",1,audrey-landers-and-camilo-sesto
535,"Aufray Hugues",23,aufray-hugues
536,Augenwei&#223;,1,augenwei-223
537,"Aunt Jane",1,aunt-jane
538,Aura,8,aura
539,"Aus Dem Musical Hair",1,aus-dem-musical-hair
541,Ausseer,1,ausseer
542,"Ausseer Hardbradler",1,ausseer-hardbradler
543,"Austin Julian",2,austin-julian
544,"Austin Lounge Lizards",9,austin-lounge-lizards
545,"Austin Patti",1,austin-patti
546,"Austin Sherrie",1,austin-sherrie
547,"Austria 3",1,austria-3
548,"Austria 7",1,austria-7
549,Auteurs,36,auteurs
550,Autoliebchen,1,autoliebchen
551,Autopsy,20,autopsy
552,Ava,1,ava
553,Avalanches,13,avalanches
554,Avalon,8,avalon
555,Avant,18,avant
556,"Avanzado Dingdong",1,avanzado-dingdong
558,Avatar,13,avatar
559,Avengers,10,avengers
560,"Avi Toledano",1,avi-toledano
561,"Aviador Dro",1,aviador-dro
562,"Avril Lavigne",15,avril-lavigne
563,Awaken,23,awaken
564,Awesome,2,awesome
565,Awie,6,awie
566,"Axe Lillian",1,axe-lillian
567,"Axel Rudi Pell",26,axel-rudi-pell
568,"Axelle Red",1,axelle-red
569,Ayman,3,ayman
570,"Az Yet",6,az-yet
571,Azeroth,6,azeroth
572,"Aznavour Charles",3,aznavour-charles
573,"Aztec Camera",50,aztec-camera
574,"Azucar Moreno",1,azucar-moreno
575,Azure,1,azure
576,"B Eric And Rakim",1,b-eric-and-rakim
577,"B Side Track",1,b-side-track
578,B*witched,27,b-witched
579,"B. B. King",2,b-b-king
580,"B. G.",1,b-g
581,"B. Jon",4,b-jon
582,"B.a. Robertson",1,b-a-robertson
583,"B.f. Egypt",2,b-f-egypt
584,"B.g The Prince Of Rap",1,b-g-the-prince-of-rap
585,"B.r. Hanby",1,b-r-hanby
586,"B.t. Express",1,b-t-express
587,B.v.s.m.p.,3,b-v-s-m-p
588,B2k,33,b2k
589,B-52s,33,b-52s
590,Babasonicos,6,babasonicos
591,Babe,1,babe
592,"Bablyon Zoo",1,bablyon-zoo
593,"Baby Animals",22,baby-animals
594,"Baby Bird",1,baby-bird
595,"Baby Jail",2,baby-jail
596,Babybird,15,babybird
597,Babyface,86,babyface
598,"Babyface And Desree",1,babyface-and-desree
599,Babyland,7,babyland
600,"Babylon A D",1,babylon-a-d
601,"Babylon Sad",3,babylon-sad
602,"Babylon Whores",11,babylon-whores
603,"Babylon Zoo",3,babylon-zoo
604,Baccara,5,baccara
605,"Bachelor Girl",11,bachelor-girl
606,"Bachman Turner Overdrive",4,bachman-turner-overdrive
607,"Backstree Boys",1,backstree-boys
608,"Backyard Babies",3,backyard-babies
609,"Bacon Brothers",6,bacon-brothers
610,"Bad 4 Good",1,bad-4-good
612,"Bad Boy Blue",1,bad-boy-blue
613,"Bad Boys Blue",36,bad-boys-blue
614,"Bad City Rollers",12,bad-city-rollers
615,"Bad Company",54,bad-company
616,"Bad English",5,bad-english
617,"Bad Examples",10,bad-examples
618,"Bad Religion",260,bad-religion
619,"Bad Religion And Campino",1,bad-religion-and-campino
620,"Baddiel, Skinner And The Lightning Seeds",1,baddiel-skinner-and-the-lightning-seeds
621,"Bader And Di Mino",1,bader-and-di-mino
622,"Bader And Mauuml;ller",1,bader-and-mauuml-ller
623,Badesalz,2,badesalz
624,Badfinger,4,badfinger
625,Badlees,16,badlees
626,Badloves,10,badloves
627,"Badly Drawn Boy",1,badly-drawn-boy
628,"Badu Erykah",1,badu-erykah
629,"Baez Joan",2,baez-joan
630,"Bagaskara Katon",1,bagaskara-katon
631,Baglioni,3,baglioni
632,"Baglioni Claudio",2,baglioni-claudio
633,"Bailey Phillp",1,bailey-phillp
634,"Bainbridge Merril",16,bainbridge-merril
635,"Baizura Ning",17,baizura-ning
636,Bajaga,3,bajaga
637,"Bajaga And Instruktori",10,bajaga-and-instruktori
638,"Baker Anita",10,baker-anita
639,"Baker Lavern",1,baker-lavern
640,"Baker Scott",2,baker-scott
641,"Bakerc And The Troll Clique",2,bakerc-and-the-troll-clique
642,"Bakstreet Boys",1,bakstreet-boys
643,"Bakula Scott",1,bakula-scott
644,"Bal Sagoth",16,bal-sagoth-2
645,"Balaam And The Angel",19,balaam-and-the-angel
646,"Balasevic Djordje",11,balasevic-djordje
647,"Balavoine Daniel",4,balavoine-daniel
648,"Bali Hawaiians",1,bali-hawaiians
649,"Ball David",1,ball-david
650,"Ballard Russ",8,ballard-russ
651,Bal-sagoth,38,bal-sagoth
652,Baltimora,2,baltimora
653,"Balz And Gaze",1,balz-and-gaze
654,"Balz And Jary",3,balz-and-jary
655,"Balz And Massey And Penny",1,balz-and-massey-and-penny
656,Bambis,1,bambis
657,Bamboozlers,10,bamboozlers
658,"Banai Evyatar",1,banai-evyatar
659,Bananafishbones,2,bananafishbones
660,Bananarama,19,bananarama
661,Band,53,band
662,"Band Aid",1,band-aid
663,"Band De Soleil",11,band-de-soleil
664,"Band Fauuml;r Afrika",1,band-fauuml-r-afrika
665,"Band Ohne Namen",1,band-ohne-namen
667,"Banda Cheiro De Amor",3,banda-cheiro-de-amor
668,"Banda Conexao",5,banda-conexao
669,"Banda Das Velhas Virgens",25,banda-das-velhas-virgens
670,"Banda El Recodo",1,banda-el-recodo
671,"Banda Eva",26,banda-eva
672,"Bandi Kills",1,bandi-kills
673,Bandits,8,bandits
674,"Bang Tango",1,bang-tango
675,Bangles,26,bangles
676,"Banks Tony",2,banks-tony
677,"Banlieue Rouge",45,banlieue-rouge
678,"Banton Buju",11,banton-buju
679,"Baouml;hse Onkelz",209,baouml-hse-onkelz
680,"Baouml;hsen Onklez",1,baouml-hsen-onklez
681,"Baouml;ser Abdul",1,baouml-ser-abdul
682,Bap,25,bap
683,Baphomet,12,baphomet
684,Barabas,2,barabas
685,Barathrum,18,barathrum
686,Barbara,1,barbara
687,"Barbara Dickson",1,barbara-dickson
688,"Barbara Fairchild",1,barbara-fairchild
689,"Barbara Streisand",5,barbara-streisand
690,Barbarossa,1,barbarossa
691,"Barbelivien Didier",1,barbelivien-didier
692,"Barbosa Adoniran",2,barbosa-adoniran
693,"Barbra Streisand",54,barbra-streisand
694,"Barclay James Harvest",53,barclay-james-harvest
695,Bardon,6,bardon
696,Bardot,26,bardot
697,"Barenaked Ladies",83,barenaked-ladies
698,"Baris Manco",1,baris-manco
699,"Barker Horton",1,barker-horton
700,"Barlow Gary",12,barlow-gary
701,"Barnbara Streisand And Barry Gibb",1,barnbara-streisand-and-barry-gibb
702,"Barnes And Barnes",24,barnes-and-barnes
703,"Barnes Jimmy",5,barnes-jimmy
704,"Baron Arnold",1,baron-arnold
705,"Barosso And Russel",1,barosso-and-russel
706,"Barrett Dave",11,barrett-dave
707,"Barri&#232;re Alain",1,barri-232-re-alain
708,"Barrio Boyzz",1,barrio-boyzz
709,"Barron Knights",1,barron-knights
710,"Barry Blue",2,barry-blue
711,"Barry Gibb",1,barry-gibb
712,"Barry John F",3,barry-john-f
713,"Barry Len",1,barry-len
714,"Barry Manilow",8,barry-manilow
715,"Barry Mann",1,barry-mann
716,"Barry Mcguire",1,barry-mcguire
717,"Barry Ryan",3,barry-ryan
718,"Barry White",7,barry-white
719,"Barstool Prophets",10,barstool-prophets
720,"Barta Illic",1,barta-illic
721,"Bartels And Gaze",1,bartels-and-gaze
722,"Bartels And Zell",1,bartels-and-zell
723,"Bary Manilow",1,bary-manilow
724,"Base Rob",2,base-rob
725,Basia,30,basia
