id,title,song_count,slug
8764,"The Congregation",1,the-congregation
8765,"The Corries",10,the-corries
8766,"The Corrs",17,the-corrs
8767,"The Cranberries",71,the-cranberries
8768,"The Cream",1,the-cream
8769,"The Cross",1,the-cross
8770,"The Crowd",1,the-crowd
8771,"The Crystals",1,the-crystals
8772,"The Cure",17,the-cure
8773,"The Divinyls",1,the-divinyls
8774,"The Doodleys",1,the-doodleys
8775,"The Doors",81,the-doors-2
8776,"The Dove Shack",2,the-dove-shack
8777,"The Drifters",3,the-drifters
8778,"The Dubliners",2,the-dubliners
8779,"The Edwin Hawkins Singers",1,the-edwin-hawkins-singers
8780,"The Equals",5,the-equals
8781,"The Everly Brothers",3,the-everly-brothers
8782,"The Fingernails",1,the-fingernails
8784,"The Five Satins",1,the-five-satins
8785,"The Flirts",4,the-flirts
8786,"The Fools",1,the-fools
8787,"The Fortunes",1,the-fortunes
8788,"The Foundations",1,the-foundations
8789,"The Four Seasons",1,the-four-seasons
8790,"The Four Tops",2,the-four-tops
8791,"The Franz",1,the-franz
8792,"The Free",1,the-free
8793,"The Gab Band",1,the-gab-band
8794,"The Gallery",1,the-gallery
8795,"The Gap Band",2,the-gap-band
8796,"The Gathering",46,the-gathering
8797,"The Genius Gza",5,the-genius-gza
8798,"The Glitter Band",6,the-glitter-band
8799,"The Goosepimples",1,the-goosepimples
8800,"The Guess Who",1,the-guess-who
8801,"The Hollies",10,the-hollies
8802,"The Honeydrippers",1,the-honeydrippers
8803,"The Hooters",4,the-hooters
8804,"The Hornettes",2,the-hornettes
8805,"The Human League",4,the-human-league
8806,"The Inchtabokatables",1,the-inchtabokatables
8807,"The Jacksons",1,the-jacksons
8808,"The James Boys",1,the-james-boys
8809,"The Jeff Healey Band",5,the-jeff-healey-band
8810,"The Jeremy Days",1,the-jeremy-days
8811,"The Jonzun Crew",1,the-jonzun-crew
8812,"The Judds",26,the-judds
8813,"The Kelly Family",28,the-kelly-family
8814,"The Kinks",7,the-kinks
8815,"The Kinleys",1,the-kinleys
8816,"The Klf",1,the-klf
8817,"The Knack",1,the-knack
8818,"The Kovenant",9,the-kovenant
8819,"The Las",2,the-las
8820,"The Levellers",1,the-levellers
8821,"The Lightning Seeds",1,the-lightning-seeds
8822,"The Living End",11,the-living-end
8823,"The Lords",2,the-lords
8824,"The Loving Spoonful",1,the-loving-spoonful
8825,"The Lox",3,the-lox
8827,"The Mackenzie Feat. Jessy",1,the-mackenzie-feat-jessy
8828,"The Maisonettes",1,the-maisonettes
8829,"The Mamas And The Papas",3,the-mamas-and-the-papas
8830,"The Manhattans",1,the-manhattans
8831,"The Marbles",1,the-marbles
