Artist URI|Artist Name|Album URI
2lMw9KHEs2ymoFBRuSrMHk|Caitlin Cary|354JX0icaNIyjJQTOVy1NJ
2lMw9KHEs2ymoFBRuSrMHk|Caitlin Cary|04OJh4NPE83DQJwift0nGt
3mv2eHwrIONSkviASDMRMa|Califone|24KCmoTE4Be55wtoZZvQEH
3mv2eHwrIONSkviASDMRMa|Califone|1FA7mzNsvfaFWXYGYZ8Nzy
3mv2eHwrIONSkviASDMRMa|Califone|5Q5q8pxeSvGwipGbbupBsC
3mv2eHwrIONSkviASDMRMa|Califone|04DUqm0rarpvh4of2aypDG
3mv2eHwrIONSkviASDMRMa|Califone|3Tvn8fHZjGCPX18ldQZ9BJ
3mv2eHwrIONSkviASDMRMa|Califone|3zafEQvWbIdNNAy6smRwAm
3mv2eHwrIONSkviASDMRMa|Califone|7H1TEWwzAgETbRvaKDNz1R
3mv2eHwrIONSkviASDMRMa|Califone|1fKJzYwPaNVrvJqCdC2zFP
3mv2eHwrIONSkviASDMRMa|Califone|6ncQjjY14Tv0YGvh3he9N5
4Bgfzia8wyaGaTn42egzTv|Catatonia|57D9xxsV2EsFhJKL9bxp6D
4Bgfzia8wyaGaTn42egzTv|Catatonia|02gjbDETa5DyWglx8Euzxy
4Bgfzia8wyaGaTn42egzTv|Catatonia|2GaQ5KOz028KvvX6Tj22LY
4Bgfzia8wyaGaTn42egzTv|Catatonia|5oORHAxHQggskA01yI3l6a
4Bgfzia8wyaGaTn42egzTv|Catatonia|5JKgetvj4148279DoZG7XE
4Bgfzia8wyaGaTn42egzTv|Catatonia|4hcPh4wVibkzYUpsxSwGvJ
4Bgfzia8wyaGaTn42egzTv|Catatonia|5Me7Ws8ZBYc8UMWOGTDviS
4Bgfzia8wyaGaTn42egzTv|Catatonia|3FhXNirfN0TSw1jdo1FEwL
4Bgfzia8wyaGaTn42egzTv|Catatonia|2hHMGzPfg4trTYh6uHCdYz
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|6ydytNVCYQi2RJ12WpbziX
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|2AQojGjLHM5zPgq9O5RpAQ
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|7kT22YLbBHqzJFsQta1u5Q
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|5W4NIh7Vj1Pmmmf4WD0zE4
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|63fZ07ueVuFMtNcKVQ1z3R
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|6g2fyKgrd9ZiZIHS1UXj4R
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|1pBXqH6DMbZU1VCXynAxs4
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|70P1sBDJ5mu6qGsvze4h7r
2XJzOLYV2mF5K2JfUhJEK0|Chris Knight|3XN2Ifd9SMi3F3vB2LAW4A
2mV8aJphiSHYJf43DxL7Gt|Chromeo|5P95ihuNOcJWjpepHBNjtB
2mV8aJphiSHYJf43DxL7Gt|Chromeo|79K2H4XrELrc5ZKxXw41zP
2mV8aJphiSHYJf43DxL7Gt|Chromeo|7zPDDmXYQBiqkrsL80qdwt
2mV8aJphiSHYJf43DxL7Gt|Chromeo|1rqJZhedmCFNbaoTRQz9Zj
2mV8aJphiSHYJf43DxL7Gt|Chromeo|7fPsuVLiRVOBSOoJWYpD2l
2mV8aJphiSHYJf43DxL7Gt|Chromeo|4vMclXtFVNShFHkEVz1ydW
2mV8aJphiSHYJf43DxL7Gt|Chromeo|0U78mbujuFjpprS0G9QcTx
2mV8aJphiSHYJf43DxL7Gt|Chromeo|44yTNvMUoBEATR67lUWYfG
2mV8aJphiSHYJf43DxL7Gt|Chromeo|3P7EbYaaBzv3PFPxhsAmkK
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|4IYBoFLVKfIngAJwJg2bn4
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|7J2TrNg6mVbn2Z2E1GrDUi
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|01hVD14ERxyXZAMVEeZxlc
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|4eXAA3lVWHUHlgUn4KIBL8
70OOVjoX5a8tiVKwUYgqQ0|The Collins Kids|6vqqgPb43i7ohlQDwZn7bp
